CodTransaccion,NroFormulario,CodCampus,Marca,Categoria,Tipo,ValUnid,Proveedor,NroSerial,EmpresaResponsable,Estado,Historial
327,966217823,MON040,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39203,Campuslands,0,[]
327,966217823,TEC040,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070349,Campuslands,0,[]
327,966217823,MOU040,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090743,Campuslands,0,[]
327,966217823,CPU041,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON041,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39201,Campuslands,0,[]
327,966217823,TEC041,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070004,Campuslands,0,[]
327,966217823,MOU041,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091710,Campuslands,0,[]
327,966217823,CPU042,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON042,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39207,Campuslands,0,[]
327,966217823,TEC042,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070727,Campuslands,0,[]
327,966217823,MOU042,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090728,Campuslands,0,[]
327,966217823,CPU043,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON043,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39170,Campuslands,0,[]
327,966217823,TEC043,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070063,Campuslands,0,[]
327,966217823,MOU043,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090729,Campuslands,0,[]
327,966217823,CPU044,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON044,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39193,Campuslands,0,[]
327,966217823,TEC044,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070203,Campuslands,0,[]
327,966217823,MOU044,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091734,Campuslands,0,[]
